Name;Didok-Nummer;geopos;lod
Immensee;8505003.0;47.0837705765, 8.45108949531;http://lod.opentransportdata.swiss/didok/8505003
Henniez;8504141.0;46.7439219351, 6.88568878543;http://lod.opentransportdata.swiss/didok/8504141
Kloten;8503308.0;47.4593949887, 8.58640476384;http://lod.opentransportdata.swiss/didok/8503308
Hinwil;8503130.0;47.3028308489, 8.85394053634;http://lod.opentransportdata.swiss/didok/8503130
Horn;8506307.0;47.4942122393, 9.46220373672;http://lod.opentransportdata.swiss/didok/8506307
Kreuzlingen Bernrain;8506197.0;47.6411934953, 9.17396510841;http://lod.opentransportdata.swiss/didok/8506197
Kreuzlingen Hafen;8506128.0;47.6411934953, 9.17396510841;http://lod.opentransportdata.swiss/didok/8506128
Luterbach-Attisholz;8500208.0;47.2173386066, 7.58773180785;http://lod.opentransportdata.swiss/didok/8500208
Luzern Verkehrshaus;8517336.0;47.0562397859, 8.29182679396;http://lod.opentransportdata.swiss/didok/8517336
Küssnacht am Rigi;8505002.0;47.0837705765, 8.45108949531;http://lod.opentransportdata.swiss/didok/8505002
Küngoldingen;8502120.0;47.3147414261, 7.94000510238;http://lod.opentransportdata.swiss/didok/8502120
Landquart;8509002.0;46.9585742911, 9.58218330193;http://lod.opentransportdata.swiss/didok/8509002
Knonau;8502226.0;47.2258046216, 8.46372554232;http://lod.opentransportdata.swiss/didok/8502226
Leuk;8501601.0;46.3059622303, 7.64646689189;http://lod.opentransportdata.swiss/didok/8501601
Lyss;8504414.0;47.0826067664, 7.3183687944;http://lod.opentransportdata.swiss/didok/8504414
Baar Lindenpark;8515993.0;47.1543542227, 8.51187149426;http://lod.opentransportdata.swiss/didok/8515993
Auvernier;8504219.0;46.9721939073, 6.85719222157;http://lod.opentransportdata.swiss/didok/8504219
Ballwil;8502023.0;47.1478609767, 8.33824092535;http://lod.opentransportdata.swiss/didok/8502023
Basel SBB;8500010.0;47.5591452444, 7.59458004936;http://lod.opentransportdata.swiss/didok/8500010
